@RELATION knndiffparam
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {amlo,not_amlo,music}

@DATA
0.065036,0.006376,3.019810,0.138561,0.166004,0.494724,0.013065,0.087468,-28.634311,2.277161,0.846547,0.236630,-0.096250,0.234749,-0.116597,0.364292,0.052208,-0.028256,0.137862,-0.033934,0.040913,0.015110,0.008547,0.067460,0.007695,0.015569,0.008552,0.055739,0.000453,0.004390,0.017472,0.027831,0.004508,0.032119,0.064206,0.007964,0.201686,0.058427,0.028402,0.556156,0.007962,0.104036,2.223208,0.949463,0.710341,0.519312,0.482192,0.394389,0.322085,0.275349,0.229921,0.246941,0.240554,0.251131,0.261848,0.018419,0.014123,0.058113,0.012304,0.018584,0.015352,0.051228,0.000672,0.009096,0.021271,0.028860,0.009132,0.015968,amlo
0.047972,0.010668,3.047367,0.129404,0.172087,0.370917,0.014944,0.071788,-27.391870,2.602529,0.447983,0.457425,-0.044418,0.304444,0.149281,0.103628,0.110326,-0.036204,0.131179,0.191898,0.031236,0.009090,0.003144,0.036551,0.009425,0.021108,0.012062,0.057762,0.001716,0.006965,0.017851,0.066051,0.004712,0.033474,0.043115,0.013181,0.201925,0.053611,0.030532,0.459152,0.010616,0.085503,2.487338,0.923601,0.742127,0.564088,0.544375,0.430718,0.342207,0.305342,0.296291,0.283572,0.232131,0.220087,0.198706,0.009876,0.005215,0.037711,0.018148,0.022656,0.021207,0.043551,0.004533,0.015958,0.019441,0.049505,0.009747,0.015058,amlo
0.053562,0.003341,2.933391,0.120341,0.161359,0.358850,0.016543,0.071987,-29.938597,2.489587,0.531993,0.435986,-0.204178,0.211723,0.136200,0.166914,0.150665,0.070784,0.185997,0.137807,-0.052661,0.008787,0.003467,0.059562,0.005973,0.020988,0.008957,0.065187,0.001704,0.005335,0.017686,0.039544,0.010024,0.032708,0.060671,0.004334,0.300594,0.061004,0.029064,0.561725,0.011072,0.103041,2.474309,0.992598,0.829015,0.565926,0.539035,0.559178,0.372699,0.286603,0.271325,0.229696,0.212210,0.235929,0.180408,0.009684,0.006531,0.052525,0.007797,0.022696,0.015434,0.059794,0.004110,0.011835,0.022206,0.034380,0.019671,0.017202,amlo
0.046588,0.021158,3.058502,0.126047,0.174362,0.320271,0.016467,0.064501,-26.542730,2.363147,0.422323,0.195196,-0.226662,0.246037,0.163715,0.189443,0.057752,0.017872,-0.018790,0.049590,-0.180322,0.023719,0.005049,0.031266,0.009293,0.016373,0.007225,0.105177,0.001079,0.004378,0.013662,0.042333,0.010113,0.043971,0.054961,0.021203,0.213565,0.055095,0.027210,0.475870,0.011659,0.092904,2.582643,0.694545,0.707870,0.605871,0.553869,0.442314,0.312596,0.315364,0.246280,0.251231,0.255430,0.283286,0.346432,0.034163,0.009615,0.028544,0.016058,0.017726,0.014039,0.108781,0.002037,0.008344,0.014440,0.036833,0.018984,0.026290,amlo
0.039183,0.004326,3.034474,0.117532,0.172599,0.285625,0.016378,0.051797,-30.222957,2.593418,0.481757,0.460913,0.255858,0.078281,0.265151,0.231598,0.074868,0.059684,0.017524,0.147174,-0.110958,0.013253,0.002603,0.040809,0.003638,0.015625,0.004843,0.188928,0.000810,0.004221,0.011759,0.033020,0.005299,0.059470,0.046412,0.006284,0.189236,0.049739,0.028243,0.404311,0.011872,0.076476,2.562459,0.706877,0.665875,0.426403,0.445472,0.397212,0.298241,0.252553,0.237327,0.214233,0.229003,0.256617,0.334698,0.024085,0.004056,0.037063,0.005284,0.016009,0.010384,0.130903,0.001907,0.007119,0.017089,0.027244,0.013963,0.030009,amlo
0.038289,0.005526,2.944414,0.112686,0.168361,0.215277,0.015946,0.045018,-29.299633,2.369716,0.525186,0.554564,-0.064302,0.298514,0.226306,0.198421,0.045945,0.137168,0.082355,0.234024,-0.060928,0.009903,0.002633,0.036987,0.006689,0.030937,0.008180,0.088695,0.001185,0.007511,0.020233,0.043598,0.004065,0.034857,0.030268,0.010252,0.295197,0.042270,0.032211,0.264267,0.008869,0.054059,2.860057,0.704132,0.651956,0.634238,0.486987,0.429506,0.368237,0.350506,0.241297,0.233340,0.239019,0.221184,0.200676,0.016672,0.004832,0.035755,0.010554,0.025940,0.014547,0.061110,0.001830,0.013645,0.021095,0.034053,0.007871,0.014862,amlo
0.040041,0.006407,2.954595,0.115012,0.169489,0.266744,0.017816,0.056152,-28.480118,2.544164,0.554778,0.392678,-0.157358,0.256522,0.117720,0.140502,-0.014806,0.131780,0.073757,0.215553,-0.055073,0.010646,0.004359,0.057155,0.005994,0.024690,0.012270,0.061336,0.001983,0.007596,0.020751,0.037979,0.007166,0.034269,0.039720,0.008727,0.302368,0.044721,0.027887,0.415561,0.009673,0.074341,3.022363,0.777585,0.695144,0.624085,0.575780,0.416157,0.369800,0.298468,0.267024,0.235509,0.227315,0.231170,0.224240,0.010823,0.008171,0.064379,0.009343,0.033250,0.021754,0.058678,0.003876,0.014022,0.024807,0.036980,0.010534,0.016662,amlo
0.047087,0.007181,3.041883,0.114060,0.158176,0.336450,0.013394,0.070018,-27.203403,2.432371,0.731440,0.105280,-0.412615,0.278776,0.106939,0.192956,0.134109,0.120116,0.069672,0.258704,-0.094494,0.015326,0.005763,0.040603,0.008110,0.019886,0.012580,0.060829,0.001351,0.005443,0.018991,0.029902,0.008444,0.028083,0.048764,0.006354,0.245301,0.053869,0.032003,0.486929,0.008131,0.091760,2.138628,1.044496,0.843884,0.635047,0.610137,0.451769,0.384485,0.330723,0.276329,0.232066,0.237084,0.202914,0.223976,0.021873,0.011473,0.035439,0.012504,0.018252,0.018341,0.046235,0.002526,0.009204,0.022935,0.027954,0.013384,0.013260,amlo
0.038240,0.008155,2.939609,0.109069,0.167889,0.218689,0.016130,0.050499,-27.714724,2.435183,0.289463,0.456190,-0.271273,0.127753,0.152717,0.008223,0.101697,0.185730,0.026297,0.217230,-0.218560,0.018818,0.004239,0.037991,0.005426,0.016968,0.005046,0.046621,0.002495,0.010381,0.032480,0.042061,0.010657,0.029698,0.031153,0.010170,0.420718,0.038887,0.030414,0.321672,0.010821,0.059172,3.069427,0.879208,0.871166,0.570808,0.519600,0.472426,0.290083,0.321119,0.270731,0.238898,0.218214,0.253034,0.330990,0.026365,0.009066,0.042706,0.008809,0.020722,0.008177,0.051461,0.004856,0.014656,0.029128,0.035945,0.024500,0.014675,amlo
0.034260,0.011176,2.903309,0.111979,0.171781,0.220938,0.015593,0.045690,-27.569167,2.604343,0.531046,0.130396,-0.538169,0.168522,0.091636,0.158024,-0.002031,0.117148,-0.004447,0.130311,-0.090323,0.017607,0.005373,0.027829,0.010962,0.020016,0.006700,0.061824,0.000922,0.009234,0.029911,0.041520,0.015667,0.032682,0.028584,0.014528,0.374621,0.029808,0.028731,0.242326,0.010771,0.048381,2.945444,0.601819,0.582756,0.569831,0.533793,0.395793,0.353744,0.316786,0.287399,0.236257,0.202189,0.248287,0.258516,0.026068,0.011085,0.031307,0.017645,0.021358,0.008319,0.067227,0.001579,0.014505,0.030425,0.035734,0.026914,0.016527,amlo
